Time,Buy Price
2020-05-31 03:51:59.981396,9577.69
2020-05-31 03:52:01.170214,9577.04
2020-05-31 03:52:02.206060,9576.43
2020-05-31 03:52:03.273850,9577.54
2020-05-31 03:52:04.308546,9577.19
2020-05-31 03:52:05.375904,9576.35
2020-05-31 03:52:06.481289,9577.15
2020-05-31 03:52:07.569151,9577.39
2020-05-31 03:52:08.683488,9577.67
2020-05-31 03:52:09.710198,9577.74
2020-05-31 03:52:10.808289,9578.07
2020-05-31 03:52:11.924603,9578.07
2020-05-31 03:52:12.967554,9578.18
2020-05-31 03:52:14.098539,9577.95
2020-05-31 03:52:15.171927,9577.9
2020-05-31 03:52:16.267462,9577.98
2020-05-31 03:52:17.363987,9578.05
2020-05-31 03:52:18.432006,9578.06
2020-05-31 03:52:19.533124,9578.04
2020-05-31 03:52:20.581951,9578.01
2020-05-31 03:52:21.708481,9577.9
2020-05-31 03:52:22.793435,9577.88
2020-05-31 03:52:23.863911,9578.28
2020-05-31 03:52:24.933555,9577.8
2020-05-31 03:52:26.061947,9577.8
2020-05-31 03:52:27.188420,9577.62
2020-05-31 03:52:28.195565,9577.62
2020-05-31 03:52:29.260742,9577.89
2020-05-31 03:52:30.324160,9577.59
2020-05-31 03:52:31.419548,9577.92
2020-05-31 03:52:32.585530,9577.68
2020-05-31 03:52:33.671550,9577.63
2020-05-31 03:52:34.809086,9577.99
2020-05-31 03:52:35.858501,9578.54
2020-05-31 03:52:36.946578,9578.45
2020-05-31 03:52:37.967629,9578.78
2020-05-31 03:52:39.034743,9578.74
2020-05-31 03:52:40.091090,9578.7
2020-05-31 03:52:41.194771,9578.78
2020-05-31 03:52:42.406739,9578.78
2020-05-31 03:52:43.445875,9578.64
2020-05-31 03:52:44.478765,9578.33
2020-05-31 03:52:45.518903,9578.6
2020-05-31 03:52:46.610604,9578.62
2020-05-31 03:52:47.837610,9577.63
2020-05-31 03:52:48.907919,9577.82
2020-05-31 03:52:49.996353,9577.51
2020-05-31 03:52:51.020509,9576.65
2020-05-31 03:52:52.140208,9577.28
2020-05-31 03:52:53.261946,9577.29
2020-05-31 03:52:54.310460,9577.25
2020-05-31 03:52:55.328913,9577.62
2020-05-31 03:52:56.383196,9578.23
2020-05-31 03:52:57.480190,9578.37
2020-05-31 03:52:58.557343,9577.38
2020-05-31 03:52:59.627393,9577.59
2020-05-31 03:53:00.726206,9577.99
2020-05-31 03:53:01.815596,9577.22
2020-05-31 03:53:02.949636,9578.54
2020-05-31 03:53:04.006381,9577.56
2020-05-31 03:53:05.105985,9576.77
2020-05-31 03:53:06.162027,9577.95
2020-05-31 03:53:07.263427,9577.6
2020-05-31 03:53:08.398266,9577.69
2020-05-31 03:53:09.479847,9577.41
2020-05-31 03:53:10.570762,9576.61
2020-05-31 03:53:11.642463,9576.69
2020-05-31 03:53:12.792830,9578.47
2020-05-31 03:53:13.877423,9576.33
2020-05-31 03:53:15.041667,9578.06
2020-05-31 03:53:16.070610,9577.67
2020-05-31 03:53:17.160233,9577.21
2020-05-31 03:53:18.308693,9577.39
2020-05-31 03:53:19.358803,9577.51
2020-05-31 03:53:20.380900,9578.15
2020-05-31 03:53:21.429864,9577.93
2020-05-31 03:53:22.505497,9578.18
2020-05-31 03:53:23.654526,9578.07
2020-05-31 03:53:24.695478,9578.16
2020-05-31 03:53:25.761745,9578.17
2020-05-31 03:53:26.825885,9577.95
2020-05-31 03:53:27.969468,9577.76
2020-05-31 03:53:29.054147,9577.52
2020-05-31 03:53:30.157860,9576.25
2020-05-31 03:53:31.298390,9575.76
2020-05-31 03:53:32.393114,9575.39
2020-05-31 03:53:33.436896,9576.75
2020-05-31 03:53:34.503892,9575.89
2020-05-31 03:53:35.667460,9574.94
2020-05-31 03:53:36.711066,9575.97
2020-05-31 03:53:37.762171,9576.17
2020-05-31 03:53:38.897807,9575.76
2020-05-31 03:53:39.950761,9574.85
2020-05-31 03:53:41.037116,9573.97
2020-05-31 03:53:42.096227,9572.89
2020-05-31 03:53:43.229307,9572.43
2020-05-31 03:53:44.296031,9572.49
2020-05-31 03:53:45.365388,9574.88
2020-05-31 03:53:46.550277,9572.22
2020-05-31 03:53:47.624171,9571.58
2020-05-31 03:53:48.691111,9574.88
2020-05-31 03:53:49.777383,9571.05
2020-05-31 03:53:50.849003,9571.47
2020-05-31 03:53:51.960920,9572.4
2020-05-31 03:53:53.020229,9572.32
2020-05-31 03:53:54.172639,9572.1
2020-05-31 03:53:55.190602,9572.13
2020-05-31 03:53:56.245151,9572.15
2020-05-31 03:53:57.332272,9572.69
2020-05-31 03:53:58.489871,9572.76
2020-05-31 03:53:59.609233,9573.92
2020-05-31 03:54:00.668990,9574.42
2020-05-31 03:54:01.706763,9572.96
2020-05-31 03:54:02.746450,9572.89
2020-05-31 03:54:03.854472,9572.98
2020-05-31 03:54:04.866817,9572.98
2020-05-31 03:54:05.869144,9572.98
2020-05-31 03:54:06.867625,9572.98
2020-05-31 03:54:07.891648,9572.98
2020-05-31 03:54:08.962002,9572.98
2020-05-31 03:54:09.962063,9572.98
2020-05-31 03:54:11.033613,9572.98
2020-05-31 03:54:12.130396,9572.98
2020-05-31 03:54:13.243661,9573.33
2020-05-31 03:54:14.356241,9572.88
2020-05-31 03:54:15.473100,9572.86
2020-05-31 03:54:16.515204,9572.86
2020-05-31 03:54:17.651615,9572.65
2020-05-31 03:54:18.795908,9572.42
2020-05-31 03:54:19.989388,9572.2
2020-05-31 03:54:21.075928,9572.17
2020-05-31 03:54:22.175906,9572.07
2020-05-31 03:54:23.299051,9571.61
2020-05-31 03:54:24.404363,9570.17
2020-05-31 03:54:25.501053,9571.37
2020-05-31 03:54:26.659625,9572.95
2020-05-31 03:54:27.689433,9573.05
2020-05-31 03:54:28.751431,9573.26
2020-05-31 03:54:29.852823,9572.09
2020-05-31 03:54:30.947931,9572.06
2020-05-31 03:54:32.040882,9572.15
2020-05-31 03:54:33.110138,9571.16
2020-05-31 03:54:34.237984,9570.85
2020-05-31 03:54:35.351165,9570.58
2020-05-31 03:54:36.421043,9570.95
2020-05-31 03:54:37.538900,9570.51
2020-05-31 03:54:38.658607,9569.74
2020-05-31 03:54:39.745311,9569.57
2020-05-31 03:54:40.778659,9569.7
2020-05-31 03:54:41.803189,9570.98
2020-05-31 03:54:42.871825,9569.14
2020-05-31 03:54:43.969393,9570.98
2020-05-31 03:54:45.126298,9569.13
2020-05-31 03:54:46.232809,9569.13
2020-05-31 03:54:47.249989,9568.88
2020-05-31 03:54:48.318514,9568.95
2020-05-31 03:54:49.401090,9569.35
2020-05-31 03:54:50.582234,9569.48
2020-05-31 03:54:51.615931,9570.34
2020-05-31 03:54:52.648229,9569.5
2020-05-31 03:54:53.751287,9569.84
