Time,Sell Price
2020-05-31 03:52:00.158905,9565.51
2020-05-31 03:52:01.334764,9565.21
2020-05-31 03:52:02.387735,9565.21
2020-05-31 03:52:03.454365,9565.21
2020-05-31 03:52:04.486201,9565.21
2020-05-31 03:52:05.590657,9565.21
2020-05-31 03:52:06.661020,9565.21
2020-05-31 03:52:07.754261,9565.21
2020-05-31 03:52:08.858696,9565.21
2020-05-31 03:52:09.885412,9565.21
2020-05-31 03:52:10.987586,9565.21
2020-05-31 03:52:12.071793,9565.21
2020-05-31 03:52:13.148709,9565.21
2020-05-31 03:52:14.294476,9566.45
2020-05-31 03:52:15.350252,9566.69
2020-05-31 03:52:16.474638,9566.48
2020-05-31 03:52:17.545348,9566.75
2020-05-31 03:52:18.629152,9566.9
2020-05-31 03:52:19.713397,9566.88
2020-05-31 03:52:20.780200,9566.95
2020-05-31 03:52:21.900868,9566.71
2020-05-31 03:52:22.958517,9566.51
2020-05-31 03:52:24.038512,9566.79
2020-05-31 03:52:25.134982,9566.3
2020-05-31 03:52:26.195781,9566.3
2020-05-31 03:52:27.336909,9566.12
2020-05-31 03:52:28.355912,9566.12
2020-05-31 03:52:29.425861,9566.4
2020-05-31 03:52:30.510635,9566.09
2020-05-31 03:52:31.659669,9566.75
2020-05-31 03:52:32.735418,9566.18
2020-05-31 03:52:33.837893,9566.14
2020-05-31 03:52:34.975004,9567.04
2020-05-31 03:52:36.011306,9567.04
2020-05-31 03:52:37.096232,9567.94
2020-05-31 03:52:38.131002,9567.94
2020-05-31 03:52:39.213189,9567.7
2020-05-31 03:52:40.268747,9567.99
2020-05-31 03:52:41.450228,9567.53
2020-05-31 03:52:42.561054,9567.62
2020-05-31 03:52:43.595406,9567.15
2020-05-31 03:52:44.630426,9566.84
2020-05-31 03:52:45.704447,9567.27
2020-05-31 03:52:46.892021,9567.6
2020-05-31 03:52:48.008859,9566.14
2020-05-31 03:52:49.098285,9566.32
2020-05-31 03:52:50.141807,9566.02
2020-05-31 03:52:51.179720,9565.21
2020-05-31 03:52:52.325065,9565.86
2020-05-31 03:52:53.406862,9565.87
2020-05-31 03:52:54.459943,9565.98
2020-05-31 03:52:55.495807,9566.81
2020-05-31 03:52:56.599143,9566.73
2020-05-31 03:52:57.649535,9566.87
2020-05-31 03:52:58.739198,9565.88
2020-05-31 03:52:59.804614,9566.09
2020-05-31 03:53:00.910960,9566.5
2020-05-31 03:53:01.990025,9565.81
2020-05-31 03:53:03.117664,9565.69
2020-05-31 03:53:04.201836,9566.06
2020-05-31 03:53:05.271603,9565.72
2020-05-31 03:53:06.344132,9566.46
2020-05-31 03:53:07.479816,9566.11
2020-05-31 03:53:08.564137,9566.39
2020-05-31 03:53:09.666790,9565.92
2020-05-31 03:53:10.737978,9565.21
2020-05-31 03:53:11.868622,9565.45
2020-05-31 03:53:12.969761,9567.23
2020-05-31 03:53:14.061111,9565.21
2020-05-31 03:53:15.183981,9566.57
2020-05-31 03:53:16.220103,9567.2
2020-05-31 03:53:17.323914,9567.33
2020-05-31 03:53:18.455649,9566.89
2020-05-31 03:53:19.510531,9566.86
2020-05-31 03:53:20.563296,9567.23
2020-05-31 03:53:21.598951,9567.3
2020-05-31 03:53:22.774813,9567.54
2020-05-31 03:53:23.822942,9567.24
2020-05-31 03:53:24.858040,9567.05
2020-05-31 03:53:25.934588,9567.11
2020-05-31 03:53:26.996239,9566.45
2020-05-31 03:53:28.149205,9566.26
2020-05-31 03:53:29.253853,9566.87
2020-05-31 03:53:30.407374,9564.77
2020-05-31 03:53:31.459180,9564.27
2020-05-31 03:53:32.547981,9563.9
2020-05-31 03:53:33.615680,9564.73
2020-05-31 03:53:34.683143,9564.3
2020-05-31 03:53:35.806559,9564.3
2020-05-31 03:53:36.871702,9564.01
2020-05-31 03:53:37.962219,9564.02
2020-05-31 03:53:39.058808,9564.02
2020-05-31 03:53:40.125636,9562.1
