Time,Market Price
2020-05-31 03:52:18.868159,9572.48
2020-05-31 03:52:19.934714,9572.46
2020-05-31 03:52:21.021123,9572.48
2020-05-31 03:52:22.131264,9572.3
2020-05-31 03:52:23.192070,9572.19
2020-05-31 03:52:24.258485,9572.54
2020-05-31 03:52:25.355132,9572.05
2020-05-31 03:52:26.486735,9572.05
2020-05-31 03:52:27.562055,9571.87
2020-05-31 03:52:28.595427,9571.87
2020-05-31 03:52:29.644899,9572.15
2020-05-31 03:52:30.727183,9571.84
2020-05-31 03:52:31.906919,9572.33
2020-05-31 03:52:32.953524,9571.93
2020-05-31 03:52:34.058205,9571.89
2020-05-31 03:52:35.191602,9572.52
2020-05-31 03:52:36.259655,9572.79
2020-05-31 03:52:37.312777,9573.2
2020-05-31 03:52:38.354119,9573.36
2020-05-31 03:52:39.439058,9573.22
2020-05-31 03:52:40.493299,9573.34
2020-05-31 03:52:41.734020,9573.15
2020-05-31 03:52:42.780318,9573.2
2020-05-31 03:52:43.832187,9572.89
2020-05-31 03:52:44.846095,9572.59
2020-05-31 03:52:45.934441,9572.94
2020-05-31 03:52:47.140434,9573.11
2020-05-31 03:52:48.238616,9571.89
2020-05-31 03:52:49.324943,9572.07
2020-05-31 03:52:50.352083,9571.77
2020-05-31 03:52:51.440342,9570.93
2020-05-31 03:52:52.565878,9571.57
2020-05-31 03:52:53.637308,9571.58
2020-05-31 03:52:54.683546,9571.62
2020-05-31 03:52:55.722680,9572.22
2020-05-31 03:52:56.817973,9572.48
2020-05-31 03:52:57.871145,9572.62
2020-05-31 03:52:58.961825,9571.63
2020-05-31 03:53:00.038903,9571.84
2020-05-31 03:53:01.126983,9572.25
2020-05-31 03:53:02.278289,9571.52
2020-05-31 03:53:03.336461,9572.12
2020-05-31 03:53:04.439571,9571.81
2020-05-31 03:53:05.492002,9571.24
2020-05-31 03:53:06.556661,9572.21
2020-05-31 03:53:07.719469,9571.86
2020-05-31 03:53:08.785882,9572.04
2020-05-31 03:53:09.911485,9571.67
2020-05-31 03:53:10.963993,9570.91
2020-05-31 03:53:12.117458,9571.07
2020-05-31 03:53:13.182208,9572.85
2020-05-31 03:53:14.278654,9570.77
2020-05-31 03:53:15.401417,9572.32
2020-05-31 03:53:16.442185,9572.44
2020-05-31 03:53:17.632664,9572.27
2020-05-31 03:53:18.671547,9572.14
2020-05-31 03:53:19.728254,9572.19
2020-05-31 03:53:20.781473,9572.69
2020-05-31 03:53:21.822676,9572.61
2020-05-31 03:53:23.011640,9572.86
2020-05-31 03:53:24.041170,9572.66
2020-05-31 03:53:25.109461,9572.61
2020-05-31 03:53:26.145742,9572.64
2020-05-31 03:53:27.256609,9572.2
2020-05-31 03:53:28.377352,9572.01
2020-05-31 03:53:29.472903,9572.2
2020-05-31 03:53:30.621490,9570.51
2020-05-31 03:53:31.679093,9570.02
2020-05-31 03:53:32.789858,9569.65
2020-05-31 03:53:33.841199,9570.74
2020-05-31 03:53:34.901854,9570.09
2020-05-31 03:53:36.051064,9569.62
2020-05-31 03:53:37.089301,9569.99
2020-05-31 03:53:38.238476,9570.09
2020-05-31 03:53:39.280508,9569.89
2020-05-31 03:53:40.342903,9568.47
2020-05-31 03:53:41.429229,9567.64
2020-05-31 03:53:42.490812,9567.11
2020-05-31 03:53:43.649407,9566.87
2020-05-31 03:53:44.675452,9566.9
2020-05-31 03:53:45.871798,9568.09
2020-05-31 03:53:46.922280,9566.76
2020-05-31 03:53:48.033486,9565.48
2020-05-31 03:53:49.107437,9566.93
2020-05-31 03:53:50.166247,9565.38
2020-05-31 03:53:51.278566,9565.6
2020-05-31 03:53:52.367229,9566.65
2020-05-31 03:53:53.502296,9566.1
2020-05-31 03:53:54.541032,9565.78
2020-05-31 03:53:55.587826,9566.06
2020-05-31 03:53:56.658553,9565.95
2020-05-31 03:53:57.731813,9566.43
2020-05-31 03:53:58.921754,9567.17
2020-05-31 03:53:59.958716,9567.62
2020-05-31 03:54:01.042075,9568.48
2020-05-31 03:54:02.087927,9567.31
2020-05-31 03:54:03.140192,9567.41
2020-05-31 03:54:04.230979,9567.24
2020-05-31 03:54:05.221682,9567.24
2020-05-31 03:54:06.223535,9567.24
2020-05-31 03:54:07.224002,9567.24
2020-05-31 03:54:08.301031,9567.24
2020-05-31 03:54:09.323378,9567.24
2020-05-31 03:54:10.321038,9567.24
2020-05-31 03:54:16.905799,9566.8
2020-05-31 03:54:19.313827,9566.43
2020-05-31 03:54:20.412582,9566.05
2020-05-31 03:54:21.511375,9566.02
2020-05-31 03:54:22.577729,9565.72
